division,metrics,fold_0,fold_1,fold_2,fold_3,fold_4
train,acc,0.7703125,0.746875,0.778125,0.7953125,0.7765625
train,f1,0.8463949843260187,0.815909090909091,0.8492569002123141,0.8656410256410257,0.8480340063761955
train,pre,0.805168986083499,0.819634703196347,0.8064516129032258,0.8194174757281554,0.8126272912423625
train,rec,0.8920704845814978,0.8122171945701357,0.8968609865470852,0.9173913043478261,0.8866666666666667
train,mcc,0.40425698202981325,0.4109793403992994,0.4424754135081671,0.45446724988243414,0.43507861262589437
repair,acc,0.7375,0.69375,0.74375,0.675,0.75
repair,f1,0.8220338983050847,0.7822222222222223,0.8340080971659919,0.7699115044247787,0.8347107438016528
repair,pre,0.7637795275590551,0.8461538461538461,0.7923076923076923,0.7073170731707317,0.7829457364341085
repair,rec,0.8899082568807339,0.7272727272727273,0.8803418803418803,0.8446601941747572,0.8938053097345132
repair,mcc,0.3474368630268727,0.28536185646245155,0.2867109361624467,0.24201810258001077,0.3434923443517805
test,acc,0.675,0.655,0.695,0.67,0.685
test,f1,0.7796610169491526,0.735632183908046,0.7946127946127947,0.7724137931034483,0.7835051546391752
test,pre,0.7278481012658228,0.7741935483870968,0.7375,0.7320261437908496,0.7402597402597403
test,rec,0.8394160583941606,0.7007299270072993,0.8613138686131386,0.8175182481751825,0.8321167883211679
test,mcc,0.17891012426871597,0.24526576128269534,0.22604178930221933,0.18265669332588527,0.21766556134637363
